"","NUMBER","ACC","PAGE","Author","Year","Title","DOI","Location","Biome","Landscape","Lower_diversity_guild","Higher_diversity_guilds","Plant species family","Plant species","Pollinator variable measure","Reproductive succes measure","Response","Nc visits","Nt visits","Escala_visitas","Nc sp. Poll","Nt sp. Poll","Obs/Exp","N","Escala N","N control","N treat","Measure used","Value","df","valueC","valueT","Unidad","seC","seT","Visitas C","Visitas T","Unidad de tiempo de visitas","Country","Obs","Tiempo muestreo","Genus"
"117","521",27,1,"Campbell, Joshua W.; Irvin, John H.; Ellis, James D.",2018,"Bee Contribution to Partridge Pea (Chamaecrista fasciculata) Pollination in Florida",NA,"University of Florida","Temperate Grasslands, Savannas & Shrublands","Experimental",NA,"all visitors","Fabaceae","Chamaecrista fasciculata","Pollinator guild diversity","fruit set","neutral",NA,NA,NA,NA,NA,"Exp",258,NA,NA,NA,"F","1.87","18",NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,"Chamaecrista"
"118","568",28,1,"Carpenter, F. L.",1976,"PLANT-POLLINATOR INTERACTIONS IN HAWAII - POLLINATION ENERGETICS OF METROSIDEROS-COLLINA (MYRTACEAE)","10.2307/1935040","Hawaii","Tropical & Subtropical Grasslands, Savannas & Shrublands","Shrubland","Vertebrate Diurnal flying exclusion","all visitors","Myrtaceae","Metrosideros collina","Pollinator guild diversity","seed set %","positive",NA,NA,NA,NA,NA,"Exp",48,NA,26,22,NA,NA,NA,"55.3","38.9","%","4.41","5.48",NA,NA,NA,"USA",NA,NA,"Metrosideros"
"119","585",29,1,"Carvalheiro, Luisa G.; Seymour, Colleen L.; Veldtman, Ruan; Nicolson, Susan W.",2010,"Pollination services decline with distance from natural habitat even in biodiversity-rich areas","10.1111/j.1365-2664.2010.01829.x","NE South Africa","Tropical & Subtropical Grasslands, Savannas & Shrublands","Agricultural","Invertebrate flying exclusion","flying pollinators","Anacardiaceae","Mangifera indica","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",73,"inflorescence",42,31,NA,NA,NA,"100","57","%",NA,NA,NA,NA,NA,"South Africa",NA,NA,"Mangifera"
"120","615",30,1,"Celebrezze, T.; Paton, D. C.",2004,"Do introduced honeybees (Apis mellifera, Hymenoptera) provide full pollination service to bird-adapted Australian plants with small flowers? An experimental study of Brachyloma ericoides (Epacridaceae)","10.1111/j.1442-9993.2003.01328.x","Cox Scrub Conservation Park","Temperate Broadleaf & Mixed Forests","Shrubland","Vertebrate Diurnal flying exclusion","all visitors","Epacridaceae","Brachyloma ericoides","Pollinator guild diversity","seed set","neutral",NA,NA,NA,NA,NA,"Exp",26,NA,NA,NA,"F","0.35","1",NA,NA,NA,NA,NA,NA,NA,NA,"Australia",NA,NA,"Brachyloma"
"121",NA,NA,2,"Celebrezze, T.; Paton, D. C.",2004,"Do introduced honeybees (Apis mellifera, Hymenoptera) provide full pollination service to bird-adapted Australian plants with small flowers? An experimental study of Brachyloma ericoides (Epacridaceae)","10.1111/j.1442-9993.2003.01328.x","Cox Scrub Conservation Park","Temperate Broadleaf & Mixed Forests","Shrubland","Vertebrate Diurnal flying exclusion","all visitors","Epacridaceae","Brachyloma ericoides","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",18,NA,10,8,NA,NA,NA,"21","12.3","%","2","2",NA,NA,NA,"Australia",NA,NA,"Brachyloma"
"122","624",31,1,"Chacoff, N. P.; Aschero, V.",2014,"Frequency of visits by ants and their effectiveness as pollinators of Condalia microphylla Cav","10.1016/j.jaridenv.2014.03.001","Mendoza","Deserts & Xeric Shrublands","Shrubland","Invertebrate flying exclusion","all visitors","Rhamnaceae","Condalia microphylla","Pollinator guild diversity","fruit set","neutral",NA,NA,NA,NA,NA,"Exp",25,NA,NA,NA,"z","2.0070000000000001","1",NA,NA,NA,NA,NA,NA,NA,NA,"Argentina",NA,NA,"Condalia"
"123","681",32,1,"Christmann, Stefanie; Aw-Hassan, Aden; Rajabov, Toshpulot; Khamraev, Aloviddin S.; Tsivelikas, Athanasios",2017,"Farming with alternative pollinators increases yields and incomes of cucumber and sour cherry","10.1007/s13593-017-0433-y","Parkent and","Deserts & Xeric Shrublands","Agricultural","all.sp2","all.sp7","Cucurbitaceae","Cucumis sativus","Pollinator species richness","fruit number","positive",NA,NA,NA,"7","2","Obs",6,"replicates",3,3,"NA","NA","NA","100","57","%","NA","NA","NA","NA","NA","Uzbekistan",NA,NA,"Cucumis"
"124",NA,NA,2,"Christmann, Stefanie; Aw-Hassan, Aden; Rajabov, Toshpulot; Khamraev, Aloviddin S.; Tsivelikas, Athanasios",2017,"Farming with alternative pollinators increases yields and incomes of cucumber and sour cherry","10.1007/s13593-017-0433-y","Parkent and","Deserts & Xeric Shrublands","Agricultural","all.sp1","all.sp12","Cucurbitaceae","Cucumis sativus","Pollinator species richness","fruit weight","positive",NA,NA,NA,"12","1","Obs",6,"replicates",3,3,"NA","NA","NA","121.19","75.099999999999994","NA","NA","NA","NA","NA","NA","Uzbekistan",NA,NA,"Cucumis"
"125",NA,NA,3,"Christmann, Stefanie; Aw-Hassan, Aden; Rajabov, Toshpulot; Khamraev, Aloviddin S.; Tsivelikas, Athanasios",2017,"Farming with alternative pollinators increases yields and incomes of cucumber and sour cherry","10.1007/s13593-017-0433-y","Parkent and","Deserts & Xeric Shrublands","Agricultural","all.sp2","all.sp7","Rosaceae","Prunus cerasus","Pollinator species richness","fruit number","positive",NA,NA,NA,"7","2","Obs",100,"flower",50,50,"NA","NA","NA","30.8","12.06","%","NA","NA","NA","NA","NA","Uzbekistan",NA,NA,"Prunus"
"126",NA,NA,4,"Christmann, Stefanie; Aw-Hassan, Aden; Rajabov, Toshpulot; Khamraev, Aloviddin S.; Tsivelikas, Athanasios",2017,"Farming with alternative pollinators increases yields and incomes of cucumber and sour cherry","10.1007/s13593-017-0433-y","Parkent and","Deserts & Xeric Shrublands","Agricultural","all.sp1","all.sp12","Rosaceae","Prunus cerasus","Pollinator species richness","fruit weight","positive",NA,NA,NA,"12","1","Obs",21,"fruit",15,6,"NA","NA","NA","2.36","2.09","NA","NA","NA","NA","NA","NA","Uzbekistan",NA,NA,"Prunus"
"127","691",33,1,"Classen, Alice; Peters, Marcell K.; Ferger, Stefan W.; Helbig-Bonitz, Maria; Schmack, Julia M.; Maassen, Genevieve; Schleuning, Matthias; Kalko, Elisabeth K. V.; Boehning-Gaese, Katrin; Steffan-Dewenter, Ingolf",2014,"Complementary ecosystem servicesprovided by pest predators andpollinators increase quantity andquality of coffee yields","10.1098/rspb.2013.3148","Kilimanjaro","Tropical & Subtropical Moist Broadleaf Forests","Agricultural","Vertebrate Diurnal flying exclusion","all visitors","Rubiaceae","Coffea arabica","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",241,NA,NA,NA,"X2","4.7300000000000004","1",NA,NA,NA,NA,NA,NA,NA,NA,"Tanzania",NA,NA,"Coffea"
"128",NA,NA,2,"Classen, Alice; Peters, Marcell K.; Ferger, Stefan W.; Helbig-Bonitz, Maria; Schmack, Julia M.; Maassen, Genevieve; Schleuning, Matthias; Kalko, Elisabeth K. V.; Boehning-Gaese, Katrin; Steffan-Dewenter, Ingolf",2014,"Complementary ecosystem servicesprovided by pest predators andpollinators increase quantity andquality of coffee yields","10.1098/rspb.2013.3148","Kilimanjaro","Tropical & Subtropical Moist Broadleaf Forests","Agricultural","Vertebrate Diurnal flying exclusion","all visitors","Rubiaceae","Coffea arabica","Pollinator guild diversity","fruit weight","neutral",NA,NA,NA,NA,NA,"Exp",241,NA,NA,NA,"F","0.13","1",NA,NA,NA,NA,NA,NA,NA,NA,"Tanzania",NA,NA,"Coffea"
"129","700",34,1,"Connelly, Heather",2015,"Landscape simplification decreases wild bee pollination services to strawberry","10.1016/j.agee.2015.05.004","Finger Lakes Region","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Rosaceae","Fragaria ananassa","Bee species richness","yield","neutral",NA,NA,NA,NA,NA,"Obs",13,NA,NA,NA,"F","0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,"Fragaria"
"130",NA,NA,2,"Connelly, Heather",2015,"Landscape simplification decreases wild bee pollination services to strawberry","10.1016/j.agee.2015.05.004","Finger Lakes Region","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Rosaceae","Fragaria ananassa","Bee species richness","yield","neutral",NA,NA,NA,NA,NA,"Obs",14,NA,NA,NA,"F","0.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,"Fragaria"
"131","723",35,1,"Cousins, S. R.",2013,"Reproductive ecology of Aloe plicatilis, a fynbos tree aloe endemic to the Cape Winelands, South Africa","10.1016/j.sajb.2013.02.174","Cape","Mediterranean Forests, Woodlands & Scrub","Shrubland","Vertebrate Diurnal flying/no-flying excluded","all visitors","Asphodelaceae","Kumara plicatilis","Pollinator guild diversity","fruit set","neutral",NA,NA,NA,NA,NA,"Exp",34,NA,17,17,NA,NA,NA,"21.6","19.5","%","4.05","5.42",NA,NA,NA,"South Africa",NA,NA,"Kumara"
"132",NA,NA,2,"Cousins, S. R.",2013,"Reproductive ecology of Aloe plicatilis, a fynbos tree aloe endemic to the Cape Winelands, South Africa","10.1016/j.sajb.2013.02.174","Cape","Mediterranean Forests, Woodlands & Scrub","Shrubland","Vertebrate Diurnal flying/no-flying excluded","all visitors","Asphodelaceae","Kumara plicatilis","Pollinator guild diversity","seed set","neutral",NA,NA,NA,NA,NA,"Exp",34,NA,17,17,NA,NA,NA,"15","12.07",NA,"1.95","2.5",NA,NA,NA,"South Africa",NA,NA,"Kumara"
"133","741",36,1,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","Fabaceae","Inga vera","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","16","Exp",2561,NA,1561,1000,NA,NA,NA,"1.9","0.3","%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga"
"134",NA,NA,2,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","Fabaceae","Inga vera","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","17","Exp",2561,NA,1561,1000,NA,NA,NA,"1.9","1.4","%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga"
"135",NA,NA,3,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","Fabaceae","Inga vera","Pollinator species diversity","seed set","positive",NA,NA,NA,"33","16","Exp",44,NA,30,14,NA,NA,NA,"8.8000000000000007","3.3",NA,"2.11","1.57",NA,NA,NA,"Brazil",NA,NA,"Inga"
"136",NA,NA,4,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","Fabaceae","Inga vera","Pollinator species diversity","seed set","positive",NA,NA,NA,"33","17","Exp",33,NA,30,3,NA,NA,NA,"8.8000000000000007","8.1999999999999993",NA,"2.11","3.12",NA,NA,NA,"Brazil",NA,NA,"Inga"
"137",NA,NA,5,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","Fabaceae","Inga striata","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","16","Exp",2493,NA,1493,1000,NA,NA,NA,"1.1000000000000001","0.2","%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga"
"138",NA,NA,6,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","Fabaceae","Inga striata","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","17","Exp",2493,NA,1493,1000,NA,NA,NA,"1.0999999999999999E-2","0.01",NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga"
"139",NA,NA,7,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","Fabaceae","Inga striata","Pollinator species diversity","seed set","positive",NA,NA,NA,"33","16","Exp",19,NA,17,2,NA,NA,NA,"8.8000000000000007","6.5",NA,"2.48","3.53",NA,NA,NA,"Brazil",NA,NA,"Inga"
"140",NA,NA,8,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","Fabaceae","Inga striata","Pollinator species diversity","seed set","positive",NA,NA,NA,"33","17","Exp",27,NA,17,10,NA,NA,NA,"8.8000000000000007","10.8",NA,"2.48","2.44",NA,NA,NA,"Brazil",NA,NA,"Inga"
"141",NA,NA,9,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","Fabaceae","Inga ingoides","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","16","Exp",2434,NA,1447,987,NA,NA,NA,"1.5","0.2","%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga"
"142",NA,NA,10,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","Fabaceae","Inga ingoides","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","17","Exp",2406,NA,1447,959,NA,NA,NA,"1.4999999999999999E-2","1.3599999999999999E-2","%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga"
"143",NA,NA,11,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","Fabaceae","Inga ingoides","Pollinator species diversity","seed set","positive",NA,NA,NA,"33","16","Exp",24,NA,22,2,NA,NA,NA,"7.1","5",NA,"1.54","2.83",NA,NA,NA,"Brazil",NA,NA,"Inga"
"144",NA,NA,12,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","Fabaceae","Inga ingoides","Pollinator species diversity","seed set","negative",NA,NA,NA,"33","17","Exp",35,NA,22,13,NA,NA,NA,"7.1","8.4",NA,"1.54","2.93",NA,NA,NA,"Brazil",NA,NA,"Inga"
"145","752",38,1,"Cunningham, S. A.",1991,"EXPERIMENTAL-EVIDENCE FOR POLLINATION OF BANKSIA SPP BY NONFLYING MAMMALS","10.1007/bf00323784","Gembrook State Forest","Temperate Broadleaf & Mixed Forests","Forest","Vertebrate Diurnal flying exclusion","all visitors","Proteaceae","Banksia integrifolia var. Integrifolia","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",83,NA,45,38,NA,NA,NA,"55.5","34.799999999999997","%","0.54","0.65",NA,NA,NA,"Australia",NA,NA,"Banksia"
"146",NA,NA,2,"Cunningham, S. A.",1991,"EXPERIMENTAL-EVIDENCE FOR POLLINATION OF BANKSIA SPP BY NONFLYING MAMMALS","10.1007/bf00323784","Gembrook State Forest","Temperate Broadleaf & Mixed Forests","Forest","Vertebrate No-flying exclusion","all visitors","Proteaceae","Banksia integrifolia var. Integrifolia","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",88,NA,45,43,NA,NA,NA,"55.5","44.9",NA,"0.54","0.67",NA,NA,NA,"Australia",NA,NA,"Banksia"
"147",NA,NA,3,"Cunningham, S. A.",1991,"EXPERIMENTAL-EVIDENCE FOR POLLINATION OF BANKSIA SPP BY NONFLYING MAMMALS","10.1007/bf00323784","Gembrook State Forest","Temperate Broadleaf & Mixed Forests","Forest","Vertebrate Diurnal No-flying excluded","all visitors","Proteaceae","Banksia integrifolia var. Integrifolia","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",67,NA,45,22,NA,NA,NA,"55.5","23.5",NA,"0.54","1.3",NA,NA,NA,"Australia",NA,NA,"Banksia"
"148","758",39,1,"Cunningham-Minnick, Michael J.; Peters, Valerie E.; Crist, Thomas O.",2020,"Bee communities and pollination services in adjacent crop fields following flower removal in an invasive forest shrub","10.1002/eap.2078","Southeast Indiana, southwest Ohio","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Cucurbitaceae","Cucumis sativus","Pollinator species richness","seed set",NA,NA,NA,NA,NA,NA,"Obs",10,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,"Cucumis"
"149","correlacion distancia~exitorepr",NA,2,"Cunningham-Minnick, Michael J.; Peters, Valerie E.; Crist, Thomas O.",2020,"Bee communities and pollination services in adjacent crop fields following flower removal in an invasive forest shrub","10.1002/eap.2078","Southeast Indiana, southwest Ohio","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Cucurbitaceae","Cucumis sativus",NA,"fruit set",NA,NA,NA,NA,NA,NA,"Obs",10,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,"Cucumis"
"150","764",40,1,"Cusser, Sarah; Neff, John L.; Jha, Shalene",2016,"Natural land cover drives pollinator abundance and richness, leading to reductions in pollen limitation in cotton agroecosystems","10.1016/j.agee.2016.04.020","South Texas","Temperate Grasslands, Savannas & Shrublands","Agricultural",NA,"all visitors","Malvaceae","Gossypium hirsutum","Pollinator species richness","pollen limitation","negative",NA,NA,NA,NA,NA,"Exp",12,NA,NA,NA,"z","-2.169",NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,"Gossypium"
"151","781",41,1,"Dainese, Matteo; Martin, Emily A.; Aizen, Marcelo A.; Albrecht, Matthias; Bartomeus, Ignasi; Bommarco, Riccardo; Carvalheiro, Luisa G.; Chaplin-Kramer, Rebecca; Gagic, Vesna; Garibaldi, Lucas A.; Ghazoul, Jaboury; Grab, Heather; Jonsson, Mattias; Karp, Daniel S.; Kennedy, Christina M.; Kleijn, David; Kremen, Claire; Landis, Douglas A.; Letourneau, Deborah K.; Marini, Lorenzo; Poveda, Katja; Rader, Romina; Smith, Henrik G.; Tscharntke, Teja; Andersson, Georg K. S.; Badenhausser, Isabelle; Baensch, Svenja; Bezerra, Antonio Diego M.; Bianchi, Felix J. J. A.; Boreux, Virginie; Bretagnolle, Vincent; Caballero-Lopez, Berta; Cavigliasso, Pablo; Cetkovic, Aleksandar; Chacoff, Natacha P.; Classen, Alice; Cusser, Sarah; da Silva e Silva, Felipe D.; de Groot, G. Arjen; Dudenhoeffer, Jan H.; Ekroos, Johan; Fijen, Thijs; Franck, Pierre; Freitas, Breno M.; Garratt, Michael P. D.; Gratton, Claudio; Hipolito, Juliana; Holzschuh, Andrea; Hunt, Lauren; Iverson, Aaron L.; Jha, Shalene; Keasar, Tamar; Kim, Tania N.; Kishinevsky, Miriam; Klatt, Bjorn K.; Klein, Alexandra-Maria; Krewenka, Kristin M.; Krishnan, Smitha; Larsen, Ashley E.; Lavigne, Claire; Liere, Heidi; Maas, Bea; Mallinger, Rachel E.; Martinez Pachon, Eliana; Martinez-Salinas, Alejandra; Meehan, Timothy D.; Mitchell, Matthew G. E.; Molina, Gonzalo A. R.; Nesper, Maike; Nilsson, Lovisa; O'Rourke, Megan E.; Peters, Marcell K.; Plecas, Milan; Potts, Simon G.; Ramos, Davi de L.; Rosenheim, Jay A.; Rundlof, Maj; Rusch, Adrien; Saez, Agustin; Scheper, Jeroen; Schleuning, Matthias; Schmack, Julia M.; Sciligo, Amber R.; Seymour, Colleen; Stanley, Dara A.; Stewart, Rebecca; Stout, Jane C.; Sutter, Louis; Takada, Mayura B.; Taki, Hisatomo; Tamburini, Giovanni; Tschumi, Matthias; Viana, Blandina F.; Westphal, Catrin; Willcox, Bryony K.; Wratten, Stephen D.; Yoshioka, Akira; Zaragoza-Trello, Carlos; Zhang, Wei; Zou, Yi; Steffan-Dewenter, Ingolf",2019,"A global synthesis reveals biodiversity-mediated benefits for crop production",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","meta-analisis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","783",42,1,"Dalgleish, E.",1999,"Effectiveness of invertebrate and vertebrate pollinators and the influence of pollen limitation and inflorescence position on follicle production of Banksia aemula (Family Proteaceae)","10.1071/bt97070","Byron Bay","Temperate Broadleaf & Mixed Forests","Shrubland","vertebrate  excluded","all visitors","Proteaceae","Banksia aemula","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",90,"flores",45,45,NA,NA,NA,"84.4","82.3","%",NA,NA,NA,NA,NA,"Australia",NA,NA,"Banksia"
"154",NA,NA,2,"Dalgleish, E.",1999,"Effectiveness of invertebrate and vertebrate pollinators and the influence of pollen limitation and inflorescence position on follicle production of Banksia aemula (Family Proteaceae)","10.1071/bt97070","Byron Bay","Temperate Broadleaf & Mixed Forests","Shrubland","vertebrate  excluded","all visitors","Proteaceae","Banksia aemula","Pollinator guild diversity","seed set","positive",NA,NA,NA,NA,NA,"Exp",76,"frutos",38,38,NA,NA,NA,"6.13","5.87",NA,"0.57999999999999996","0.68",NA,NA,NA,"Australia",NA,NA,"Banksia"
"155",NA,NA,3,"Dalgleish, E.",1999,"Effectiveness of invertebrate and vertebrate pollinators and the influence of pollen limitation and inflorescence position on follicle production of Banksia aemula (Family Proteaceae)","10.1071/bt97070","Byron Bay","Temperate Broadleaf & Mixed Forests","Shrubland","vertebrate  excluded","all visitors","Proteaceae","Banksia aemula","Pollinator guild diversity","seed set","positive",NA,NA,NA,NA,NA,"Exp",12,"individuos",6,6,NA,NA,NA,"46","44",NA,"5.84","9.2799999999999994",NA,NA,NA,"Australia",NA,NA,"Banksia"
"156","789",43,1,"Dar, S.; Arizmendi, M. D.; Valiente-Banuet, A.",2006,"Diurnal and nocturnal pollination of Marginatocereus marginatus (Pachycereeae : Cactaceae) in Central Mexico","10.1093/aob/mcj045","Tehuacan Valley","Deserts & Xeric Shrublands","Shrubland","Nocturnal exclusion","all visitors","Cactaceae","Lophocereus marginatus","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",92,NA,55,37,NA,NA,NA,"25","1",NA,NA,NA,NA,NA,NA,"Mexico",NA,NA,"Lophocereus"
"157",NA,NA,2,"Dar, S.; Arizmendi, M. D.; Valiente-Banuet, A.",2006,"Diurnal and nocturnal pollination of Marginatocereus marginatus (Pachycereeae : Cactaceae) in Central Mexico","10.1093/aob/mcj045","Tehuacan Valley","Deserts & Xeric Shrublands","Shrubland","Diurnal exclusion","all visitors","Cactaceae","Lophocereus marginatus","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",79,NA,55,24,NA,NA,NA,"25","2",NA,NA,NA,NA,NA,NA,"Mexico",NA,NA,"Lophocereus"
"158",NA,NA,3,"Dar, S.; Arizmendi, M. D.; Valiente-Banuet, A.",2006,"Diurnal and nocturnal pollination of Marginatocereus marginatus (Pachycereeae : Cactaceae) in Central Mexico","10.1093/aob/mcj045","Tehuacan Valley","Deserts & Xeric Shrublands","Shrubland","Nocturnal exclusion","all visitors","Cactaceae","Lophocereus marginatus","Pollinator guild diversity","seed set","positive",NA,NA,NA,NA,NA,"Exp",26,NA,25,1,NA,NA,NA,"102.12","159",NA,"9.2100000000000009",NA,NA,NA,NA,"Mexico",NA,NA,"Lophocereus"
"159",NA,NA,4,"Dar, S.; Arizmendi, M. D.; Valiente-Banuet, A.",2006,"Diurnal and nocturnal pollination of Marginatocereus marginatus (Pachycereeae : Cactaceae) in Central Mexico","10.1093/aob/mcj045","Tehuacan Valley","Deserts & Xeric Shrublands","Shrubland","Diurnal exclusion","all visitors","Cactaceae","Lophocereus marginatus","Pollinator guild diversity","seed set","positive",NA,NA,NA,NA,NA,"Exp",27,NA,25,2,NA,NA,NA,"102.12","94.5",NA,"9.2100000000000009","20.56",NA,NA,NA,"Mexico",NA,NA,"Lophocereus"
"160","814",44,1,"Day, D. A.; Collins, B. G.; Rees, R. G.",1997,"Reproductive biology of the rare and endangered Banksia brownii Baxter ex R. Br. (Proteaceae)","10.1111/j.1442-9993.1997.tb00676.x","region northeast Albany, W Australia","Deserts & Xeric Shrublands","Forest","vertebrate excluded","all visitors","Proteaceae","Banksia brownii","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",269,"inflorescencia",133,136,NA,NA,NA,"51.1","19.8","%",NA,NA,NA,NA,NA,"Australia",NA,NA,"Banksia"
"161",NA,45,1,"de Oliveira Muniz, Joao Paulo; Abrahao Bomfim, Isac Gabriel; de Medeiros Correa, Marcio Cleber; Freitas, Breno Magalhaes",2019,"Floral biology, pollination requirements and behavior of floral visitors in two species of pitaya","10.1590/s0100-29452011005000096","Apodi Plateau, Ceará","Tropical & Subtropical Dry Broadleaf Forests","Agricultural","Nocturnal exclusion","all visitors","Cactaceae","Hylocereus polyrhizus","Pollinator guild diversity","fruit set","neutral",NA,NA,NA,NA,NA,"Exp",60,"flores",30,30,NA,NA,NA,"30","30",NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,"Hylocereus"
